naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Nila my sensual black 2,7 l	00111860	Nila	2.770	KOM	       4,49	A	1	L	1,663	       4,49	9,29	MPC 2.5.2025=9,29€	3850105169631	SREDSTVA ZA ČIŠĆENJE
Šljiva suha bez koštice 400g	00111869	Šljiva suha	0.400	KOM	       3,99		1	KG	9,975			MPC 2.5.2025=3,99€	8600103261012	HRANA
Nescafe Dolce Gusto Flat White 187,2g	00111872	Nescafe	0.187	KOM	       6,49		1	KG	34,52			MPC 2.5.2025=6,49€	7613036595735	HRANA
V Guard univerzalni dezinfic. 2u1 100ml	00111929	V Guard	0.100	KOM	       1,89		1	L	18,9			MPC 2.5.2025=1,89€	3858891051963	KOZMETIKA
Nivea deo black&white ultimate ž. 150ml	00111931	Nivea	0.150	KOM	       4,99		1	L	33,27			MPC 2.5.2025=4,99€	9005800329659	KOZMETIKA
Nivea roll on black&wh.ultimate m. 50ml	00111932	Nivea	0.052	KOM	       5,55		1	L	 111			MPC 2.5.2025=5,55€	42397717	KOZMETIKA
Nivea roll on black&wh.ultimate ž. 50ml	00111933	Nivea	0.052	KOM	       5,55		1	L	 111			MPC 2.5.2025=5,55€	42397663	KOZMETIKA
Nivea deo black&white ultimate m. 150ml	00111934	Nivea	0.150	KOM	       4,99		1	L	33,27			MPC 2.5.2025=4,99€	9005800329604	KOZMETIKA
Old Spice Deo Sprej deep sea m. 150ml	00111935	Old spice	0.100	KOM	       3,85		1	L	25,67			MPC 2.5.2025=3,85€	8001841282473	KOZMETIKA
Old Spice Gel za tušir. deep s.m. 400ml	00111936	Old spice	0.420	KOM	       3,85		1	L	9,625			MPC 2.5.2025=3,85€	8001841326153	KOZMETIKA
Maggi povrtna kocka 120 g	00111937	Maggi	0.120	KOM	       2,09		1	KG	17,42			MPC 2.5.2025=2,09€	8585002438645	HRANA
Kotanyi mlinac papar zeleni zrno 29 g	00111993	Kotanyi	0.029	KOM	       2,37	A	1.000			       2,37	4,39	MPC 2.5.2025=4,49€	9001414441664	HRANA
Friskies Hr. za mačke govedina 4x85g	00112025	Friskies	0.340	KOM	       2,29		1	KG	6,735			MPC 2.5.2025=2,29€	7613036986250	PROIZVODI ZA KUĆANSTVO
Cekin Marinato grill ražnjići cca 500 g	00112080	Cekin	1	KG	      12,99		1.000					MPC 2.5.2025=12,99€	2105650000000	HRANA
Let`s BBQ Šiš ćevapčići e 320 g	00112103	Let`s BBQ	0.320	KOM	       3,29		1	KG	10,28			MPC 2.5.2025=3,29€	3858881616158	HRANA
KPur Let`s BBQ Burger od jun.mesa 300 g	00112123	Let`s BBQ	0.300	KOM	       3,19		1	KG	10,63			MPC 2.5.2025=2,99€	3859893068836	HRANA
Perla Kolutići krak. lignje smrz. 425 g	00112144	Perla	0.425	KOM	       8,75		1	KG	20,59			MPC 2.5.2025=7,79€	3858892085226	HRANA
Perla Lignja patagonika smr. cijela 525g	00112145	Perla	0.525	KOM	       7,29		1	KG	13,89			MPC 2.5.2025=6,89€	3858892085233	HRANA
Pampers vlažne maram. sensitive 4x52kom	00112150	Pampers	1.195	KOM	       5,17		1	KOM	0,025			MPC 2.5.2025=5,17€	8001841062624	KOZMETIKA
Wasa Krekeri od sezama 235g	00112158	Wasa	0.235	KOM	       2,69		1	KG	11,45			MPC 2.5.2025=2,69€	7300400482202	HRANA
Super Jon maramice universal 60 kom	00112166	Super Jon	0.380	KOM	       3,25		1	KOM	0,054			MPC 2.5.2025=3,25€	3850111901089	SREDSTVA ZA ČIŠĆENJE
Bernard Celebration Lager 5% 0,5 l NB	00112167	Bernard	0.500	KOM	       2,59		1	L	4,98			MPC 2.5.2025=2,42€	8594003352614	PIĆE
Ayinger Lager Hell 4,9% 0,5 l NB	00112173	Ayinger	0.500	KOM	       2,15		1	L	 4,1			MPC 2.5.2025=2,02€	4104170020007	PIĆE
Benediktiner Hell 5% 0,5 lim	00112186	Benediktiner	0.500	KOM	       1,75		1	L	 3,3			MPC 2.5.2025=1,75€	4052197002455	PIĆE
Radenska Mineralna voda 4x1,5 l PET	00112195	Radenska	6	KOM	       2,99		1	L	0,432			MPC 2.5.2025=2,99€	3830065021231	PIĆE
KFav.Haringa filet u kremi BBQ 200g/100g	00112200	K-Favourites	0.200	KOM	       1,49		1	KG	14,9			MPC 2.5.2025=1,49€	4337185723377	HRANA
KFav.Haringa filet u kremi sal.200/100g	00112203	K-Favourites	0.200	KOM	       1,49		1	KG	7,45			MPC 2.5.2025=1,49€	4337185723285	HRANA
Benediktiner Hell 5% 0,5l NB	00112241	Benediktiner	0.500	KOM	       2,02		1	L	3,84			MPC 2.5.2025=2,02€	4052197003254	PIĆE
Cannabeer pivo sa ind.konopljom 0,33 l	00112244	Cannabeer	0.330	KOM	       2,19		1	L	6,333			MPC 2.5.2025=2,48€	3857500112903	PIĆE
Garden Brewery Pilsner 0,33l	00112252	The Garden	0.330	KOM	       1,42		1	L	   4			MPC 2.5.2025=1,42€	3859893153174	PIĆE
Bura Brew Tornado IPA pivo6,1% 0,33 l NB	00112253	Tornado	0.330	KOM	       2,19		1	L	6,333			MPC 2.5.2025=1,99€	3857500042323	PIĆE
Nivea dnevna krema naturally good 50ml	00112254	Nivea	0.043	KOM	       9,69		1.000					MPC 2.5.2025=9,69€	9005800335582	KOZMETIKA
Old Spice Deo Stick deep sea men 50ml	00112257	Old spice	0.060	KOM	       3,85		1	L	  77			MPC 2.5.2025=3,85€	8001841283906	KOZMETIKA
Sierra Nevada Pale Ale 5,6% 0,355 l NB	00112259	Sierra Nevada	0.355	KOM	       2,39		1	L	6,451			MPC 2.5.2025=2,79€	083783375251	PIĆE
Spray fire killer prah 70 ml	00112347	#	0.070	KOM	       1,85		1	L	26,43			MPC 2.5.2025=2,09€	4260332198585	HRANA
Aqf.dječja zub.pasta splash jagoda 50ml	00112348	Aquafresh	0.050	KOM	       2,89		1	L	57,8			MPC 2.5.2025=2,59€	5054563089472	KOZMETIKA
Garnier mask.za lice hyalu.aloe u maram.	00112350	Garnier	0.028	KOM	       2,99		1.000					MPC 2.5.2025=2,99€	3600542385626	KOZMETIKA
Garnier mask.za lice hyd.bomb noć.u mar.	00112352	Garnier	0.032	KOM	       2,99		1.000					MPC 2.5.2025=2,99€	3600542385657	KOZMETIKA
Karlovačko svijetlo pivo 5% 2l PET	00112376	Karlovačko	2	KOM	       3,62		1	L	1,76			MPC 2.5.2025=3,62€	3850103902315	PIĆE
KLC.Pšenične tortille 370 g	00112446	K- Classic	0.370	KOM	       0,89	A	1	KG	2,405	       0,89	0,89	MPC 2.5.2025=1,39€	5900928087938	HRANA
KLC.pšenična Tortille 8x20cm 320 g	00112449	K- Classic	0.320	KOM	       0,89	A	1	KG	2,781	       0,89	0,89	MPC 2.5.2025=1,39€	5900928087945	HRANA
Multivita dod.prehr.omega 3 kapsule 30/1	00112453	Multivita	0.042	KOM	       5,49		1	KOM	0,183			MPC 2.5.2025=5,49€	3858881248601	PROIZVODI ZA KUĆANSTVO
Dr.Oetker vanilin šećer 8 g	00112481	Dr.Oetker	0.008	KOM	       0,22		1.000					MPC 2.5.2025=0,22€	5997381367226	HRANA
Dr. Oetker vanilin šećer 10x8g 2 gratis	00112482	Dr. Oetker	0.080	KOM	       1,76		1	KG	27,5			MPC 2.5.2025=1,76€	5997381367288	HRANA
Manner napolitanke original 200 g	00112510	Manner	0.200	KOM	       2,25		1	KG	11,25			MPC 2.5.2025=2,25€	9000331627229	HRANA
Manner napolitanke čokolada 200 g	00112511	Manner	0.200	KOM	       2,25		1	KG	11,25			MPC 2.5.2025=2,25€	9000331627212	HRANA
KLC.Bomboni tvrdi bez šećera 125 g	00112513	K-Classic	0.125	KOM	       1,59		1	KG	12,72			MPC 2.5.2025=1,45€	4337185927454	HRANA
Murska Dekla London dry Gin 42% 0,7l	00112518	Murska Dekla	0.700	KOM	      28,02		1	L	39,89			MPC 2.5.2025=28,02€	3857000002827	PIĆE
Petrovečki Vino bij.Muškat žuti 0,75L	00112520	Vina Petrovečki	0.750	KOM	      13,02		1	L	17,23			MPC 2.5.2025=13,02€	3859893467202	HRANA
KLC.Bomboni b.šećera limun i melisa 125g	00112527	K-Classic	0.125	KOM	       1,59		1	KG	12,72			MPC 2.5.2025=1,45€	4337185927478	HRANA
Proteini.si natural BCAA Maracuja 200g	00112534	Proteini.si	0.200	KOM	      12,25		1	KG	61,25			MPC 2.5.2025=12,25€	3830069173202	HRANA
Juky kukuruzni flips 75 g	00112536	Juky	0.075	KOM	       0,79		1	KG	10,53			MPC 2.5.2025=0,79€	3859073891148	HRANA
Hipp bio dječji flips sa žitaricama 30g	00112548	Hipp	0.030	KOM	       1,69		1.000					MPC 2.5.2025=1,69€	4062300399570	HRANA
Hipp bio voćna kašica integral. žit.190g	00112549	Hipp	0.190	KOM	       1,65		1	KG	8,684			MPC 2.5.2025=1,65€	9062300132363	HRANA
Hipp bio čaj komorač 30 g	00112552	Hipp	0.030	KOM	       2,99		1.000					MPC 2.5.2025=2,99€	4062300282773	HRANA
Mlinoprom Brašno oštro T-400  5kg_OC	00112559	Mlinoprom	5	KOM	       3,89		1	KG	0,778			MPC 2.5.2025=3,89€	3859888693135	HRANA
KFav. Fuet kobasica 170 g	00112560	K-Favourites	0.170	KOM	       2,99		1	KG	17,59			MPC 2.5.2025=2,89€	4337185830259	HRANA
KFav.Praline bez alkohola 200 g	00112562	K-Favourites	0.200	KOM	       4,89		1	KG	24,45			MPC 2.5.2025=5,49€	4337185245305	HRANA
Hippis bio jabuka ban.breskva keks 100g	00112564	Hippis	0.100	KOM	       1,35		1	KG	13,5			MPC 2.5.2025=1,35€	4062300319820	HRANA
Hipp bio nektar šljiva sa kruškom 200 ml	00112592	Hipp	0.200	KOM	       1,08		1	L	 4,9			MPC 2.5.2025=1,08€	9062300129882	HRANA
Hipp napitak jabuka i crno grož.Bio500ml	00112593	Hipp	0.500	KOM	       1,68		1	L	3,16			MPC 2.5.2025=1,68€	4062300393639	HRANA
Hipp napitak voće i vitamin C Bio 500 ml	00112594	Hipp	0.500	KOM	       1,62		1	KG	3,04			MPC 2.5.2025=1,62€	4062300392915	HRANA
Mlinoprom Brašno oštro T-400  1kg_OC	00112615	Mlinoprom	1	KOM	       0,79		1.000					MPC 2.5.2025=0,79€	3859888693142	HRANA
KLC.Carska mješavina 450g	00112752	K- Classic	0.450	KOM	       1,59		1	KG	3,533			MPC 2.5.2025=1,59€	4337185810800	HRANA
KLC.Špinat 450g	00112753	K-Classic	0.450	KOM	       1,19		1	KG	2,644			MPC 2.5.2025=1,39€	4337185810565	HRANA
Ožujsko pivo 5% 6 x 0,5 l lim	00112754	Ožujsko	3	KOM	       7,65		1	L	2,35			MPC 2.5.2025=7,49€	3850131005682	PIĆE
Eveline lak za nokte nail ther. 8u1 12ml	00112778	Eveline	0.030	KOM	       3,89		1.000					MPC 2.5.2025=3,89€	5901761938111	KOZMETIKA
Eveline maskara variete lashes show	00112779	Eveline	0.020	KOM	       5,39		1.000					MPC 2.5.2025=5,39€	5903416008095	KOZMETIKA
Eveline ruž za usne velvet matt 506	00112786	Eveline	0.008	KOM	       4,59		1.000					MPC 2.5.2025=4,59€	5901761936179	KOZMETIKA
Eveline ruž za usne velvet matt 510	00112787	Eveline	0.008	KOM	       4,59		1.000					MPC 2.5.2025=4,59€	5901761999716	KOZMETIKA
Eveline ruž za usne velvet matt 511	00112788	Eveline	0.008	KOM	       4,59		1.000					MPC 2.5.2025=4,59€	5901761999822	KOZMETIKA
Eveline ruž za usne velvet matt 512	00112789	Eveline	0.008	KOM	       4,59		1.000					MPC 2.5.2025=4,59€	5901761999860	KOZMETIKA
Eveline sjenilo za oči quattro 01	00112790	Eveline	0.010	KOM	       5,99		1.000					MPC 2.5.2025=5,99€	5903416004103	KOZMETIKA
Eveline sjenilo za oči quattro 03	00112792	Eveline	0.010	KOM	       5,99		1.000					MPC 2.5.2025=5,99€	5903416004127	KOZMETIKA
Eveline sjenilo za oči quattro 04	00112793	Eveline	0.010	KOM	       5,99		1.000					MPC 2.5.2025=5,99€	5903416004134	KOZMETIKA
Eveline sjenilo za oči quattro 05	00112794	Eveline	0.010	KOM	       5,99		1.000					MPC 2.5.2025=5,99€	5903416004141	KOZMETIKA
Eveline sjenilo za oči quattro 06	00112795	Eveline	0.010	KOM	       5,99		1.000					MPC 2.5.2025=5,99€	5903416004158	KOZMETIKA
Eveline tuš za oči u olovci precise bru.	00112796	Eveline	0.005	KOM	       5,29		1.000					MPC 2.5.2025=5,29€	5901761977547	KOZMETIKA
Dr. Oetker instant kvasac 5x7g 1 gratis	00112802	Dr.Oetker	0.035	KOM	       1,99		1.000					MPC 2.5.2025=1,99€	4000521024444	HRANA
KLC.Gyros riža 750 g	00112830	K-Classic	0.750	KOM	       4,99		1	KG	6,653			MPC 2.5.2025=4,99€	4337185615054	HRANA
KLC.Šećerne mrvice šarene 200 g	00112836	KLC	0.200	KOM	       1,85		1	KG	9,25			MPC 2.5.2025=1,79€	4337185720598	HRANA
Pisinium Dimljena panceta 200 g	00112871	Pisinium	0.200	KOM	       5,99		1	KG	29,95			MPC 2.5.2025=5,99€	3858884935935	HRANA
KLC.Osvježivač WC školjke limun 4x40g	00112875	K-Classic	0.160	KOM	       0,95		1	KG	5,938			MPC 2.5.2025=0,95€	4337185381690	SREDSTVA ZA ČIŠĆENJE
KLC.Osvjež. wc školjke ocean4x40g	00112876	K-Classic	0.160	KOM	       0,95		1	KG	5,938			MPC 2.5.2025=0,95€	4337185381676	SREDSTVA ZA ČIŠĆENJE
KLC.Uni.vlaž.maramice limun 80 kom	00112877	K-Classic	0.355	KOM	       1,59		1	KOM	0,02			MPC 2.5.2025=1,59€	4063367021329	SREDSTVA ZA ČIŠĆENJE
KLC.Vlaž. maram. za namješt.,80kom	00112878	K-Classic	0.355	KOM	       1,59		1	KOM	0,02			MPC 2.5.2025=1,59€	4337185436284	SREDSTVA ZA ČIŠĆENJE
Pivac Dimljeni hamburger cca 1200 g	00112888	Pivac	1	KG	       6,99		1.000					MPC 2.5.2025=5,69€	2801490000000	HRANA
Pur Det.za suđe Aloe vera 1,2 l	00112902	Pur	1.230	KOM	       4,79		1	L	3,992			MPC 2.5.2025=5,29€	9000101386080	SREDSTVA ZA ČIŠĆENJE
Pur det.za suđe limun 1,2 l	00112903	Pur	1.240	KOM	       4,79		1	L	3,992			MPC 2.5.2025=5,29€	9000101386295	SREDSTVA ZA ČIŠĆENJE
Pur det.za suđe malina 1,2 l	00112904	Pur	1.240	KOM	       4,79		1	L	3,992			MPC 2.5.2025=5,29€	9000101386448	SREDSTVA ZA ČIŠĆENJE
KLC.Odčepljivač odvoda 1l	00112972	K-Classic	1	KOM	       1,49		1.000					MPC 2.5.2025=1,49€	4337185389498	SREDSTVA ZA ČIŠĆENJE
KLC.Odstranjivač mrlja gel 1l	00112973	K-Classic	1	KOM	       3,05		1.000					MPC 2.5.2025=3,05€	4337185619427	SREDSTVA ZA ČIŠĆENJE
KLC.Nussano lješnjak krem proizvod 750 g	00112976	K-Classic	0.750	KOM	       3,79		1	KG	5,053			MPC 2.5.2025=3,79€	4002309014722	HRANA
Barilla Pesto rosso 200 g	00113069	Barilla	0.200	KOM	       2,59	A	1	KG	12,95	       2,59	2,55	MPC 2.5.2025=4,59€	8076809523547	HRANA
Dar Prirode čaj kamilica 20 g	00113093	Dar Prirode	0.020	KOM	       0,35		1.000					MPC 2.5.2025=0,44€	3859892997380	HRANA
Dar Prirode čaj Šipak   40 g	00113099	Dar Prirode	0.040	KOM	       0,45		1.000					MPC 2.5.2025=0,59€	3859892997397	HRANA
Dar Prirode čaj Šumsko voće   40 g	00113102	Dar Prirode	0.040	KOM	       0,59		1.000					MPC 2.5.2025=0,74€	3859892997588	HRANA
Križ.mljekara Mlijeko trajno 2,8% 1L_OC	00113127	Križevačka mljekara	1	KOM	       0,75		1.000					MPC 2.5.2025=0,75€	3859893374081	HRANA
KLC.Zobena kaša natur 65 g	00113188	K-Classic	0.065	KOM	       0,49		1	KG	7,538			MPC 2.5.2025=0,49€	8595564522980	HRANA
Beefeater Dry Gin&Tonic 0,25 l	00113211	Beefeater	0.250	KOM	       2,59		1	L	9,96			MPC 2.5.2025=2,48€	5000299618431	PIĆE
Beefeater Pink Gin&Tonic 0,25 l	00113212	Beefetaer	0.250	KOM	       2,59		1	L	9,96			MPC 2.5.2025=2,48€	5000299618448	PIĆE
KLC.Sardina u ulju s limunom 125/90 g	00113229	K-Classic	0.125	KOM	       1,29		1	KG	14,33			MPC 2.5.2025=1,29€	4063367385704	HRANA
Andro Alpska kobasica 300g	00113240	Andro	0.300	KOM	       2,25		1	KG	 7,5			MPC 2.5.2025=2,25€	3858892820148	HRANA
Aleva kokošja juha s rezancima 37 g	00113243	Aleva	0.037	KOM	       0,39	A	1.000			       0,39	0,55	MPC 2.5.2025=0,55€	8600947036777	HRANA
Aleva krem juha od gljiva 51 g	00113244	Aleva	0.051	KOM	       1,35		1	KG	26,47			MPC 2.5.2025=1,35€	8600947036760	HRANA
Aleva povrtna juha s tjesteninom 37 g	00113245	Aleva	0.037	KOM	       0,39	A	1.000			       0,39	0,55	MPC 2.5.2025=0,55€	8600947036784	HRANA
Aleva smjesa za ćevape i pljeskavice 60g	00113247	Aleva	0.060	KOM	       1,19		1	KG	19,83			MPC 2.5.2025=1,19€	8600947030577	HRANA
Aleva smjesa začina za grah 84 g	00113248	Aleva	0.084	KOM	       1,19		1	KG	14,17			MPC 2.5.2025=1,19€	8600947042266	HRANA
Hedona bijela čokolada 100 g	00113280	Hedona	0.100	KOM	       4,39		1	KG	43,9			MPC 2.5.2025=4,39€	3859892777111	HRANA
Hedona tamna čokolada 100 g	00113281	Hedona	0.100	KOM	       4,39		1	KG	43,9			MPC 2.5.2025=4,39€	3859892777104	HRANA
KFav.Krastavci kor.bilje Prem.330g/190g	00113282	K-Favourites	0.330	KOM	       1,49		1	KG	7,842			MPC 11.6.2025=1,49€	4006795303186	HRANA
KFav.Krastavci kor.čili Prem.330g/190g	00113283	K-Favourites NMNP	0.330	KOM	       1,49		1	KG	7,842			MPC 2.5.2025=0,99€	4006795306187	HRANA
KLC.Krastavci kornišon 670g/370g vg	00113284	K-Classic	0.670	KOM	       1,99		1	KG	5,378			MPC 2.5.2025=1,99€	4002442820853	HRANA
Milka, krem namaz, 600 g	00113285	Milka	0.600	KOM	       9,49		1	KG	15,82			MPC 2.5.2025=9,49€	7622201521257	HRANA
Hedona Čokolada mlij.s brus.i lješ.100g	00113287	Hedona	0.100	KOM	       4,39		1	KG	43,9			MPC 2.5.2025=4,39€	3859893082405	HRANA
Bodul ex. dj. maslinovo ulje 1 l	00113295	Bodul	1	KOM	       8,49		1.000					MPC 2.5.2025=9,99€	3859893678127	HRANA
KFav. Serrano šunka 100 g	00113344	K-Favourites	0.100	KOM	       2,59		1	KG	25,9			MPC 2.5.2025=2,19€	4337185473289	HRANA
Wine TO GO rose 0,187L	00113346	WINE TO GO	0.187	KOM	       2,99		1	L	15,99			MPC 2.5.2025=2,99€	3859893101960	PIĆE
Wine TO GO Chardonnay 0,187L	00113348	Wine TO GO	0.187	KOM	       2,99		1	L	15,99			MPC 2.5.2025=2,99€	3859893101953	HRANA
Wine TO GO Merlot 0,187L	00113349	WINE TO GO	0.187	KOM	       2,99		1	L	15,99			MPC 2.5.2025=2,99€	3859893101946	PIĆE
Bev.Baby kupka 1 L	00113352	Bevola	1	KOM	       4,49		1.000					MPC 2.5.2025=3,55€	4337185856082	KOZMETIKA
Bev.Baby losion za njegu 250 ml	00113353	Bevola	0.270	KOM	       2,49		1	L	9,96			MPC 2.5.2025=2,49€	4337185856174	KOZMETIKA
Bev.Baby šampon 250ml	00113354	Bevola	0.280	KOM	       1,79		1	L	7,16			MPC 2.5.2025=1,49€	4337185856129	KOZMETIKA
KFav.Sok od grejpa 1 l	00113357	K-Favourites	1	KOM	       2,79		1.000					MPC 2.5.2025=3,19€	4063367210693	PIĆE
Pisinium Istarska panceta 200 g	00113367	Pisinium	0.200	KOM	       5,99		1	KG	29,95			MPC 2.5.2025=5,99€	3858884937298	HRANA
KLC.Krpa za pod s motivom2 kom	00113368	K-Classic	0.100	KOM	       1,25		1	KOM	0,625			MPC 2.5.2025=1,19€	4009412054621	SREDSTVA ZA ČIŠĆENJE
KLC.Krpa za prozore, 2 kom	00113369	K-Classic	0.062	KOM	       2,35		1	KOM	1,175			MPC 2.5.2025=2,35€	4009412040440	SREDSTVA ZA ČIŠĆENJE
KLC.Spužva za pranje suđa,6kom	00113370	K-Classic	0.039	KOM	       1,49		1	KOM	0,248			MPC 2.5.2025=2,05€	4009412312639	SREDSTVA ZA ČIŠĆENJE
KLC.Krpa od mikrovlakna univerzalna 3/1	00113371	K-Classic	0.055	KOM	       2,29		1	KOM	0,763			MPC 2.5.2025=1,95€	4009412220309	SREDSTVA ZA ČIŠĆENJE
KLC.Kuhinjska spužva 5 kom	00113373	K-Classic	0.045	KOM	       1,09		1	KOM	0,218			MPC 2.5.2025=1,09€	4009412312608	SREDSTVA ZA ČIŠĆENJE
KLC.Krpa za brisanje 10 kom	00113374	K-Classic	0.083	KOM	       1,35		1	KOM	0,135			MPC 2.5.2025=1,29€	4009412031530	SREDSTVA ZA ČIŠĆENJE
KLC.kuhinjska spužva 10 kom	00113375	K-Classic	0.051	KOM	       0,99		1	KOM	0,099			MPC 2.5.2025=0,99€	4063367432835	SREDSTVA ZA ČIŠĆENJE
Multivita vit. C+D+Zn immunity kaps.15/1	00113383	Multivita	0.010	KOM	       4,59		1	KOM	0,306			MPC 2.5.2025=4,59€	3858881248748	PROIZVODI ZA KUĆANSTVO
Bref ProNature Mint&Eucalyptus gel 700ml	00113384	Bref ProNature	0.708	KOM	       3,49		1	L	4,986			MPC 2.5.2025=3,29€	9000101389746	SREDSTVA ZA ČIŠĆENJE
Bref Osvježivač za WC Mint&Eucal.2x50 g	00113387	Bref	0.100	KOM	       5,69		1	KG	56,9			MPC 2.5.2025=5,69€	9000101360158	SREDSTVA ZA ČIŠĆENJE
Bref ProNature mint 3x50 g	00113388	Bref ProNature	0.150	KOM	       6,99		1	KG	46,6			MPC 2.5.2025=8,19€	9000101360578	SREDSTVA ZA ČIŠĆENJE
Silan Peony&White Tea Scent 1,45 l	00113397	Silan	1.450	KOM	       5,69		1	L	3,924			MPC 2.5.2025=5,69€	9000101385212	SREDSTVA ZA ČIŠĆENJE
Color Naturals 4.12 Iced Brown	00113404	Color naturals	0.146	KOM	       4,99		1.000					MPC 2.5.2025=4,99€	3600542335171	KOZMETIKA
Pecivo Lizika pšenično bijelo 180 g	00113427	#	0.180	KOM	       0,69		1	KG	3,833			MPC 2.5.2025=0,69€	5765	HRANA
Anamaria Kava mljevena 400 g	00113456	Anamaria	0.400	KOM	       7,79		1	KG	19,48			MPC 27.5.2025=7,79€	3858881775275	HRANA
Hedona bijela čokolada 50 g	00113497	Hedona	0.050	KOM	       2,05		1	KG	  41			MPC 2.5.2025=2,05€	3859892777098	HRANA
Hedona mliječna čokolada 50 g	00113498	Hedona	0.050	KOM	       2,05		1	KG	  41			MPC 2.5.2025=2,05€	3859892777081	HRANA
Hedona tamna čokolada 50 g	00113499	Hedona	0.050	KOM	       2,05		1	KG	  41			MPC 2.5.2025=2,05€	3859892777074	HRANA
Toblerone bijela čokolada 100 g	00113500	Toblerone	0.100	KOM	       2,99		1	KG	29,9			MPC 2.5.2025=2,99€	7614500010310	HRANA
Melem Deo u sprej dragocjena ulja 150 ml	00113502	Melem deo spray	0.130	KOM	       3,99		1	L	26,6			MPC 2.5.2025=3,99€	3856007907609	KOZMETIKA
Toblerone čokolada fruit and nut 100 g	00113509	Toblerone	0.100	KOM	       2,99		1	KG	29,9			MPC 2.5.2025=2,99€	7622201137175	HRANA
Frutek Kašica jabuka i keksi 100g	00113510	Frutek	0.100	KOM	       1,39		1	KG	13,9			MPC 2.5.2025=1,39€	3838945038003	HRANA
KLC.Svježi njoki 500 g	00113576	K-Classic	0.500	KOM	       1,69		1	KG	3,38			MPC 2.5.2025=1,69€	3858893130390	HRANA
Ajax Hibiscus 1 l	00113593	Ajax	1	KOM	       3,69		1.000					MPC 2.5.2025=2,99€	8718951336681	SREDSTVA ZA ČIŠĆENJE
KLC.Marelica sok nektar 40% 1 l	00113598	K-Classic	1	KOM	       1,69		1.000					MPC 2.5.2025=1,59€	4063367412912	PIĆE
Gavrilović Jeli šunka u ovit. 2600g DEL	00113608	Gavrilović	1	KG	       6,90	A	1.000			       6,90	6,90	MPC 2.5.2025=6,9€	2800519000000	HRANA
Schweppes Piće gaz.Bitter Lemon0,33L LIM	00113675	Schweppes	0.330	KOM	       1,28		1	L	3,576			MPC 2.5.2025=1,28€	5449000064110	PIĆE
Coca Cola Piće 5+1 gratis 6x0,33L LIM	00113685	Coca Cola ili Fanta	1.980	KOM	       5,49		1	L	2,964			MPC 2.5.2025=5,43€	5000112652857	PIĆE
Coca Cola Zero Piće 5+1 grat.6x0,33L LIM	00113688	Coca Cola	1.980	KOM	       5,49		1	L	2,964			MPC 2.5.2025=5,43€	5000112652871	PIĆE
Coca Cola 12x150 ml lim	00113703	Coca Cola	1.800	KOM	       7,39		1	L	4,106			MPC 2.5.2025=6,99€	5449000034229	PIĆE
Coca Cola Zero 12x150 ml lim	00113778	Coca Cola	1.800	KOM	       7,39		1	L	4,106			MPC 2.5.2025=6,99€	5449000138156	PIĆE
Gorbatschow limun 10% 0,33 l lim	00113897	Gorbatschow	0.330	KOM	       2,99		1	L	8,758			MPC 2.5.2025=2,99€	4003310014800	PIĆE
KLC. Slanina narezak 100 g	00113968	K-Classic	0.100	KOM	       1,49		1	KG	14,9			MPC 2.5.2025=1,49€	4063367322235	HRANA
Njoki 1 kg smrznuti Žitoproizvod	00114006	Žitoproizvod	1	KOM	       4,35		1	KG	4,35			MPC 2.5.2025=4,35€	3858881508095	HRANA
KLC. vlažni toaletni papir kamil.2x70kom	00114007	K-Classic	0.495	KOM	       1,89		1	KOM	0,014			MPC 2.5.2025=1,84€	4002857008037	PROIZVODI ZA KUĆANSTVO
Domestos wc osvježivač 5, lavanda, 3kom	00114008	Domestos	0.165	KOM	       5,45		1	KOM	1,817			MPC 2.5.2025=5,45€	8714100193471	SREDSTVA ZA ČIŠĆENJE
Domestos wc osvježivač5, pink magn.3kom	00114009	Domestos	0.165	KOM	       5,45		1	KOM	1,817			MPC 2.5.2025=5,45€	8714100193488	SREDSTVA ZA ČIŠĆENJE
KFav.NMNP.Masline dalm.crne koš370g/200g	00114057	K-Favourites	0.370	KOM	       3,75		1	KG	18,75			MPC 2.5.2025=3,75€	3859893165214	HRANA
KFav.NMNP.Masline zelene s koš.370g/200g	00114058	K-Favourites	0.370	KOM	       3,75		1	KG	18,75			MPC 2.5.2025=3,75€	3859893165207	HRANA
Carefree Ulošci dnev.cotton aloe 76/1_OC	00114072	Carefree	0.156	KOM	       3,89		1	KOM	0,051			MPC 2.5.2025=3,79€	3574660464368	TOALETNE POTREPŠTINE
KFav. Gou.Mues.bij.čok.i mal.500g	00114075	K-Favourites	0.500	KOM	       4,09		1	KG	8,18			MPC 2.5.2025=4,09€	8595564522669	HRANA
KLC.probiotski jogurt 4x150 g	00114088	K-Classic	0.600	KOM	       1,49		1	KG	2,483			MPC 2.5.2025=1,45€	4337185633706	HRANA
KFav.NMNP Džem od smokve 240 g	00114093	K-Favourites	0.240	KOM	       2,99		1	KG	12,46			MPC 2.5.2025=2,99€	3859893165672	HRANA
